"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ZNF322",0.00819496573728447,5.12119633036272,0.0752416682278153,0.940688155496459,0.971578265861898,-5.94481086252363
"SLC66A2",-0.0111904663519244,8.26429353394781,-0.0752399343231838,0.940689519615238,0.971578265861898,-5.94481098964149
"RPS15A",0.00810913111634881,10.6851276292316,0.0751470859616688,0.940762566691557,0.971578265861898,-5.9448177923628
"LGALS3BP",-0.0175163821632713,7.15786492893454,-0.0747432455053667,0.941080288385763,0.971827010214915,-5.94484728287346
"MTM1",0.00572104527943822,4.1724874448459,0.0744882253838603,0.941280930764498,0.97194952978874,-5.94486582394086
"RABGGTA",-0.00838637067350011,6.66130680938274,-0.0743299192736203,0.941405483388622,0.97194952978874,-5.94487730161957
"VHL",0.00390138386808849,3.41707854416525,0.074299316699125,0.94142956116372,0.97194952978874,-5.94487951758509
"LTA4H",-0.00781889336155167,8.57322334789936,-0.074054745982945,0.941621988813933,0.971979242789045,-5.94489719444457
"RHEB",-0.00491196374616501,7.73288697211685,-0.0740323158434938,0.941639636975985,0.971979242789045,-5.94489881271354
"SLC25A1",0.00731436311556956,7.00854690556086,0.0739606119489557,0.941696054215688,0.971979242789045,-5.94490398265314
"TCP11L1",-0.00502193827529747,6.11712663817886,-0.0738702093551305,0.941767184197725,0.971979242789045,-5.94491049365606
"SLC67A1",-0.00734633386338163,6.49947500994954,-0.0737741883308649,0.941842735379941,0.971979242789045,-5.94491740059473
"ZNF717",-0.00632555077600879,5.02428380292815,-0.0736233998271016,0.941961379792343,0.971985387316126,-5.9449282289196
"WWC3",-0.00912896376302334,6.84647999921869,-0.0735712054277882,0.942002448056987,0.971985387316126,-5.94493197191052
"NCAPD2",-0.00878310742451408,5.17334092029665,-0.0730368322650738,0.942422919834812,0.972339887014161,-5.94497014051509
"PFDN1",-0.00633551816482025,8.08210565197954,-0.072860591724823,0.942561598552015,0.972351836442247,-5.94498266784095
"FNBP1L",-0.0153848627250966,4.99863292488301,-0.0728266351548806,0.942588318234294,0.972351836442247,-5.94498507802685
"IFT122",-0.00617337220042576,7.00210933150226,-0.0724322819522595,0.942898631190658,0.972551849277655,-5.94501298637081
"REXO4",0.00597347795388637,6.710074005268,0.0723847211462739,0.942936056983745,0.972551849277655,-5.94501634201044
"MRPS7",0.00854687438348109,7.90363237872178,0.0720694475198943,0.943184150489897,0.972689753113995,-5.94503853035062
"MTCH2",-0.00639832004213527,8.05687442829452,-0.0719450479481719,0.943282043984297,0.972689753113995,-5.94504725871444
"TOR1AIP1",-0.00835940276243352,5.99243056134559,-0.0719215102572544,0.943300566553088,0.972689753113995,-5.94504890851587
"DPH5",0.00349406279368527,5.62617686957396,0.071684919541197,0.943486749241717,0.972722053928642,-5.94506546163866
"TNIK",0.011174165086788,7.23552471577745,0.0716137475239497,0.943542757991787,0.972722053928642,-5.9450704305384
"ZNF500",-0.00438376166013725,5.89408421672416,-0.0715884013456563,0.943562704214258,0.972722053928642,-5.94507219889957
"REXO2",-0.00831754569738694,8.30584097682203,-0.0711889794182941,0.943877035029885,0.972966763463745,-5.94509998329102
"LY6G6E",-0.00550712080815661,4.1810454413161,-0.0708920338224721,0.944110726677999,0.973036134142211,-5.94512053857741
"TMEM255A",-0.00887035239792495,3.85934790665154,-0.0707524186010803,0.944220603501456,0.973036134142211,-5.94513017339675
